row_number_demand,po_number,priority,row_number_supply_combination,is_fulfilled_demand,percent_fulfilled_demand,total_stock_supply_kg,count_farmer,count_processing,count_estimate_harvest_date,total_estimate_duration
36,,6.0,358,yes,101.28,5000.0,1,1.0,1.0,25.0
36,,7.0,"348, 353, 443",yes,506.38,25000.0,1,2.0,1.0,20.0
36,,8.0,"353, 443",yes,465.87,23000.0,1,2.0,1.0,20.0
36,,9.0,"348, 443",yes,344.34,17000.0,1,2.0,1.0,20.0
36,,10.0,"348, 353, 358, 443",yes,607.66,30000.0,1,2.0,1.0,41.0
36,,11.0,"353, 358, 443",yes,567.15,28000.0,1,2.0,1.0,41.0
36,,12.0,"348, 358, 443",yes,445.61,22000.0,1,2.0,1.0,41.0
36,,13.0,"348, 353, 358",yes,303.83,15000.0,1,2.0,1.0,41.0
36,,14.0,"353, 358",yes,263.32,13000.0,1,2.0,1.0,41.0
36,,15.0,"348, 358",yes,141.79,7000.0,1,2.0,1.0,41.0
36,,16.0,"348, 353, 861",yes,364.59,18000.0,2,1.0,2.0,28.0
36,,17.0,"353, 861",yes,324.08,16000.0,2,1.0,2.0,28.0
36,,18.0,"348, 861",yes,202.55,10000.0,2,1.0,2.0,28.0
36,,19.0,"443, 861",yes,465.87,23000.0,2,2.0,2.0,16.0
36,,20.0,"348, 353, 443, 861",yes,668.42,33000.0,2,2.0,2.0,32.0
36,,21.0,"353, 443, 861",yes,627.91,31000.0,2,2.0,2.0,32.0
36,,22.0,"348, 443, 861",yes,506.38,25000.0,2,2.0,2.0,32.0
36,,23.0,"358, 443, 861",yes,567.15,28000.0,2,2.0,2.0,37.0
36,,24.0,"358, 861",yes,263.32,13000.0,2,2.0,2.0,37.0
36,,25.0,"348, 353, 358, 443, 861",yes,769.7,38000.0,2,2.0,2.0,53.0
36,,26.0,"353, 358, 443, 861",yes,729.19,36000.0,2,2.0,2.0,53.0
36,,27.0,"348, 358, 443, 861",yes,607.66,30000.0,2,2.0,2.0,53.0
36,,28.0,"348, 353, 358, 861",yes,465.87,23000.0,2,2.0,2.0,53.0
36,,29.0,"353, 358, 861",yes,425.36,21000.0,2,2.0,2.0,53.0
36,,30.0,"348, 358, 861",yes,303.83,15000.0,2,2.0,2.0,53.0
36,,31.0,348,no,40.51,2000.0,1,1.0,1.0,16.0
37,,1.0,861,yes,153.2,8000.0,1,1.0,1.0,12.0
37,,2.0,78,yes,172.35,9000.0,1,1.0,1.0,15.0
37,,3.0,"78, 861",yes,325.55,17000.0,2,1.0,1.0,27.0
40,,1.0,130,yes,146.99,3000.0,1,1.0,1.0,16.0
41,,1.0,130,yes,588.24,3000.0,1,1.0,1.0,16.0
42,,1.0,443,yes,245.02,15000.0,1,1.0,1.0,4.0
42,,2.0,"348, 353",yes,163.35,10000.0,1,1.0,1.0,16.0
42,,3.0,353,yes,130.68,8000.0,1,1.0,1.0,16.0
42,,4.0,"358, 443",yes,326.69,20000.0,1,1.0,1.0,25.0
42,,5.0,"348, 353, 443",yes,408.36,25000.0,1,2.0,1.0,20.0
42,,6.0,"353, 443",yes,375.69,23000.0,1,2.0,1.0,20.0
42,,7.0,"348, 443",yes,277.69,17000.0,1,2.0,1.0,20.0
42,,8.0,"348, 353, 358, 443",yes,490.04,30000.0,1,2.0,1.0,41.0
42,,9.0,"353, 358, 443",yes,457.37,28000.0,1,2.0,1.0,41.0
42,,10.0,"348, 358, 443",yes,359.36,22000.0,1,2.0,1.0,41.0
42,,11.0,"348, 353, 358",yes,245.02,15000.0,1,2.0,1.0,41.0
42,,12.0,"353, 358",yes,212.35,13000.0,1,2.0,1.0,41.0
42,,13.0,"348, 358",yes,114.34,7000.0,1,2.0,1.0,41.0
42,,14.0,348,no,32.67,2000.0,1,1.0,1.0,16.0
42,,15.0,358,no,81.67,5000.0,1,1.0,1.0,25.0
43,,1.0,443,yes,2450.98,15000.0,1,1.0,1.0,4.0
43,,2.0,"348, 353",yes,1633.99,10000.0,1,1.0,1.0,16.0
43,,3.0,353,yes,1307.19,8000.0,1,1.0,1.0,16.0
43,,4.0,348,yes,326.8,2000.0,1,1.0,1.0,16.0
43,,5.0,"358, 443",yes,3267.97,20000.0,1,1.0,1.0,25.0
43,,6.0,358,yes,816.99,5000.0,1,1.0,1.0,25.0
43,,7.0,"348, 353, 443",yes,4084.97,25000.0,1,2.0,1.0,20.0
43,,8.0,"353, 443",yes,3758.17,23000.0,1,2.0,1.0,20.0
43,,9.0,"348, 443",yes,2777.78,17000.0,1,2.0,1.0,20.0
43,,10.0,"348, 353, 358, 443",yes,4901.96,30000.0,1,2.0,1.0,41.0
43,,11.0,"353, 358, 443",yes,4575.16,28000.0,1,2.0,1.0,41.0
43,,12.0,"348, 358, 443",yes,3594.77,22000.0,1,2.0,1.0,41.0
43,,13.0,"348, 353, 358",yes,2450.98,15000.0,1,2.0,1.0,41.0
43,,14.0,"353, 358",yes,2124.18,13000.0,1,2.0,1.0,41.0
