row_number_demand,po_number,priority,row_number_supply_combination,is_fulfilled_demand,percent_fulfilled_demand,total_stock_supply_kg,count_farmer,count_processing,count_estimate_harvest_date,total_estimate_duration
117,,3.0,376,yes,14705.88,15000.0,1,1.0,1.0,15.0
117,,4.0,"376, 506",yes,21568.63,22000.0,2,1.0,1.0,22.0
117,,5.0,"222, 506",yes,101960.78,104000.0,2,1.0,2.0,21.0
117,,6.0,"222, 376",yes,109803.92,112000.0,2,1.0,2.0,29.0
117,,7.0,"222, 376, 506",yes,116666.67,119000.0,3,1.0,2.0,36.0
119,,1.0,506,yes,1102.36,7000.0,1,1.0,1.0,7.0
119,,2.0,222,yes,15275.59,97000.0,1,1.0,1.0,14.0
119,,3.0,376,yes,2362.2,15000.0,1,1.0,1.0,15.0
119,,4.0,"376, 506",yes,3464.57,22000.0,2,1.0,1.0,22.0
119,,5.0,"222, 506",yes,16377.95,104000.0,2,1.0,2.0,21.0
119,,6.0,"222, 376",yes,17637.8,112000.0,2,1.0,2.0,29.0
119,,7.0,"222, 376, 506",yes,18740.16,119000.0,3,1.0,2.0,36.0
120,,1.0,506,yes,155.35,7000.0,1,1.0,1.0,7.0
120,,2.0,222,yes,2152.69,97000.0,1,1.0,1.0,14.0
120,,3.0,376,yes,332.89,15000.0,1,1.0,1.0,15.0
120,,4.0,"376, 506",yes,488.24,22000.0,2,1.0,1.0,22.0
120,,5.0,"222, 506",yes,2308.03,104000.0,2,1.0,2.0,21.0
120,,6.0,"222, 376",yes,2485.57,112000.0,2,1.0,2.0,29.0
120,,7.0,"222, 376, 506",yes,2640.92,119000.0,3,1.0,2.0,36.0
121,,1.0,680,yes,119.76,5000.0,1,1.0,1.0,15.0
122,,1.0,680,yes,129.17,5000.0,1,1.0,1.0,15.0
125,,1.0,680,yes,1302.08,5000.0,1,1.0,1.0,15.0
126,,1.0,659,yes,316.77,16000.0,1,1.0,1.0,16.0
126,,2.0,649,yes,356.37,18000.0,1,1.0,1.0,19.0
126,,3.0,"649, 659",yes,673.13,34000.0,2,1.0,2.0,35.0
127,,1.0,130,no,89.1,3000.0,1,1.0,1.0,16.0
128,,1.0,443,yes,121.2,15000.0,1,1.0,1.0,4.0
128,,2.0,"358, 443",yes,161.6,20000.0,1,1.0,1.0,25.0
128,,3.0,"348, 353, 443",yes,202.0,25000.0,1,2.0,1.0,20.0
128,,4.0,"353, 443",yes,185.84,23000.0,1,2.0,1.0,20.0
128,,5.0,"348, 443",yes,137.36,17000.0,1,2.0,1.0,20.0
128,,6.0,"348, 353, 358, 443",yes,242.4,30000.0,1,2.0,1.0,41.0
128,,7.0,"353, 358, 443",yes,226.24,28000.0,1,2.0,1.0,41.0
128,,8.0,"348, 358, 443",yes,177.76,22000.0,1,2.0,1.0,41.0
128,,9.0,"348, 353, 358",yes,121.2,15000.0,1,2.0,1.0,41.0
128,,10.0,"353, 358",yes,105.04,13000.0,1,2.0,1.0,41.0
128,,11.0,"348, 353",no,80.8,10000.0,1,1.0,1.0,16.0
128,,12.0,353,no,64.64,8000.0,1,1.0,1.0,16.0
128,,13.0,348,no,16.16,2000.0,1,1.0,1.0,16.0
128,,14.0,358,no,40.4,5000.0,1,1.0,1.0,25.0
128,,15.0,"348, 358",no,56.56,7000.0,1,2.0,1.0,41.0
131,,1.0,130,no,71.79,3000.0,1,1.0,1.0,16.0
133,,1.0,506,yes,5263.16,7000.0,1,1.0,1.0,7.0
133,,2.0,222,yes,72932.33,97000.0,1,1.0,1.0,14.0
133,,3.0,376,yes,11278.2,15000.0,1,1.0,1.0,15.0
133,,4.0,"376, 506",yes,16541.35,22000.0,2,1.0,1.0,22.0
133,,5.0,"222, 506",yes,78195.49,104000.0,2,1.0,2.0,21.0
133,,6.0,"222, 376",yes,84210.53,112000.0,2,1.0,2.0,29.0
133,,7.0,"222, 376, 506",yes,89473.68,119000.0,3,1.0,2.0,36.0
135,,1.0,506,yes,848.48,7000.0,1,1.0,1.0,7.0
135,,2.0,222,yes,11757.58,97000.0,1,1.0,1.0,14.0
135,,3.0,376,yes,1818.18,15000.0,1,1.0,1.0,15.0
135,,4.0,"376, 506",yes,2666.67,22000.0,2,1.0,1.0,22.0
135,,5.0,"222, 506",yes,12606.06,104000.0,2,1.0,2.0,21.0
135,,6.0,"222, 376",yes,13575.76,112000.0,2,1.0,2.0,29.0
135,,7.0,"222, 376, 506",yes,14424.24,119000.0,3,1.0,2.0,36.0
136,,1.0,506,yes,119.49,7000.0,1,1.0,1.0,7.0
136,,2.0,222,yes,1655.86,97000.0,1,1.0,1.0,14.0
136,,3.0,376,yes,256.06,15000.0,1,1.0,1.0,15.0
136,,4.0,"376, 506",yes,375.55,22000.0,2,1.0,1.0,22.0
136,,5.0,"222, 506",yes,1775.35,104000.0,2,1.0,2.0,21.0
136,,6.0,"222, 376",yes,1911.92,112000.0,2,1.0,2.0,29.0
136,,7.0,"222, 376, 506",yes,2031.41,119000.0,3,1.0,2.0,36.0
137,,1.0,680,no,92.1,5000.0,1,1.0,1.0,15.0
138,,1.0,680,no,99.34,5000.0,1,1.0,1.0,15.0
