row_number,customer_name,customer_id,customer_area,customer_location,demand_month,po_number,ordered_sku_code,ordered_sku_name,ordered_sku_type,etd,ordered_treat_status,order_notes,order_size,order_unit_before,translation_unit,size_convertion,order_unit_after,qty_order_lb,qty_order_kg,demand_additional_notes,raw_material_size,supply_unit,total_rm_kg,supply_notes
27,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,December,,UDV-2-HOSO-3-C-C2-RB1800gr-31-40-10800gr-EXP,Udang Vannamei Frozen HOSO Chemfree Glaze Compensated 10-12 RB 1800gr 31-40 10800gr EXP,HOSO - Raw,,Chemical Free,,31 - 40,(PCs/Kg),HOSO - Raw (PCs/Kg),31 - 40,,,3060.0,, 34 - 35 ,(PCs/Kg),3122.0,
28,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,December,,UDV-2-HOSO-3-C-C2-RB1800gr-41-50-10800gr-EXP,Udang Vannamei Frozen HOSO Chemfree Glaze Compensated 10-12 RB 1800gr 41-50 10800gr EXP,HOSO - Raw,,Chemical Free,,41 - 50,(PCs/Kg),HOSO - Raw (PCs/Kg),41 - 50,,,720.0,, 44 - 45 ,(PCs/Kg),735.0,
29,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,December,,UDV-2-HOSO-3-C-C2-RB1800gr-51-60-10800gr-EXP,Udang Vannamei Frozen HOSO Chemfree Glaze Compensated 10-12 RB 1800gr 51-60 10800gr EXP,HOSO - Raw,,Chemical Free,,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,720.0,, 54 - 55 ,(PCs/Kg),735.0,
30,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,December,,UDV-2-RPD-2-S_12-U-RB500gr-31-40-10kg-EXP,Udang Vannamei Frozen RPD STPP 12 hrs Glaze Uncompensated 10-15 RB 500gr 31-40 10kg EXP,P&D - Raw,,STPP 12 hrs,,31 - 40,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,,1350.0,, 40 - 41 ,(PCs/Kg),2596.0,
31,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,December,,UDV-2-RPD-2-S_12-U-RB500gr-41-50-10kg-EXP,Udang Vannamei Frozen RPD STPP 12 hrs Glaze Uncompensated 10-15 RB 500gr 41-50 10kg EXP,P&D - Raw,,STPP 12 hrs,,41 - 50,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,,1350.0,, 51 - 52 ,(PCs/Kg),2596.0,
32,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,December,,UDV-2-RPD-2-S_12-U-RB500gr-51-60-10kg-EXP,Udang Vannamei Frozen RPD STPP 12 hrs Glaze Uncompensated 10-15 RB 500gr 51-60 10kg EXP,P&D - Raw,,STPP 12 hrs,,51 - 60,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,,10800.0,, 63 - 64 ,(PCs/Kg),20769.0,
33,NTUC,,Asia,Singapore,December,,,"12 packet x 700g / 8.4kg net weight per carton
Carton: 12 packet
IQF
MC: plain white
Inner: 5 colours",PDTO - Raw,,,Certification: BAP 2 Star,31 - 35,(PCs/Lb),PDTO - Raw (PCs/Lb),UNDEFINED,,,3231.0,, 38 - 42 ,(PCs/Kg),5875.0,
34,NTUC,,Asia,Singapore,December,,,"20 packet x 400g / 8kg net weight per carton
Carton: 20 packet
IQF
MC: plain white
Inner: 5 colours",P&D - Raw,,,Certification: BAP 2 Star,31 - 40,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,,6924.0,, 35 - 46 ,(PCs/Kg),13315.0,
35,NTUC,,Asia,Singapore,December,,,"12 packet x 700g / 8.4kg net weight per carton
Carton: 12 packet
IQF
MC: plain white
Inner: 5 colours",PDTO - Raw,,,Certification: BAP 2 Star,68 - 88,(PCs/Kg),PDTO - Raw (PCs/Kg),68 - 88,,,3231.0,,37 - 46,(PCs/Kg),5875.0,
36,NTUC,,Asia,Singapore,December,,,"20 packet x 400g / 8kg net weight per carton
Carton: 20 packet
IQF
MC: plain white
Inner: 5 colours",PDTO - Cooked,,,Certification: BAP 2 Star,112 - 132,(PCs/Kg),PDTO - Cooked (PCs/Kg),112 - 132,,,2308.0,,60 - 71,(PCs/Kg),4937.0,
37,NTUC,,Asia,Singapore,December,,,"20 packet x 400g / 8kg net weight per carton
Carton: 20 packet
IQF
MC: plain white
Inner: 5 colours",P&D - Cooked,,,Certification: BAP 2 Star,134 - 154,(PCs/Kg),P&D - Cooked (PCs/Kg),134 - 154,,,2308.0,,70 - 80,(PCs/Kg),5222.0,
38,AEON,,Marketplace,,September,,,,P&D - Cooked,,,BPOM Halal & White Labeling (Could be exclusive brand),21 - 30,(PCs/Kg),P&D - Cooked (PCs/Kg),21 - 30,,,1000.0,, 9 - 13  ,(PCs/Kg),2262.0,
39,AEON,,Marketplace,,September,,,,P&D - Raw,,,,21 - 30,(PCs/Kg),P&D - Raw (PCs/Kg),21 - 30,,,90.0,, 11 - 15 ,(PCs/Kg),173.0,
40,AEON,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,2000.0,, 50 - 59 ,(PCs/Kg),2041.0,
41,Superindo,,Marketplace,,September,,,,HOSO - Raw,,,,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,500.0,, 50 - 59 ,(PCs/Kg),510.0,
42,Superindo,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,61 - 70,(PCs/Kg),HOSO - Raw (PCs/Kg),61 - 70,,,6000.0,, 59 - 68 ,(PCs/Kg),6122.0,
43,HERO,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,61 - 70,(PCs/Kg),HOSO - Raw (PCs/Kg),61 - 70,,,600.0,, 59 - 68 ,(PCs/Kg),612.0,
44,GS Supermarket ,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,61 - 70,(PCs/Kg),HOSO - Raw (PCs/Kg),61 - 70,,,750.0,, 59 - 68 ,(PCs/Kg),765.0,
45,Yogya,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,41 - 50,(PCs/Kg),HOSO - Raw (PCs/Kg),41 - 50,,,3000.0,, 40 - 49 ,(PCs/Kg),3061.0,
46,Waroeng SS,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,300.0,,#N/A,(PCs/Kg),306.0,
47,Native,,Marketplace,,September,,,,P&D - Raw,,,Sustainable  Stock & HALAL,31 - 40,(PCs/Kg),P&D - Raw (PCs/Kg),31 - 40,,,40.0,, 16 - 21 ,(PCs/Kg),77.0,
48,"Eat Well (Tawan, Ichiban)",,Marketplace,,September,,,,PDTO - Raw,,,"Sustainable  Stock, BPOM and HALAL",41 - 50,(PCs/Kg),PDTO - Raw (PCs/Kg),41 - 50,,,1175.0,, 23 - 28 ,(PCs/Kg),2136.0,
49,Eat Well ,,Marketplace,,September,,,,P&D - Raw,,,"Sustainable  Stock, BPOM and HALAL",41 - 50,(PCs/Kg),P&D - Raw (PCs/Kg),41 - 50,,,1175.0,, 21 - 26 ,(PCs/Kg),2260.0,
50,Eat Well ,,Marketplace,,September,,,,P&D - Raw,,,"Sustainable  Stock, BPOM and HALAL",51 - 60,(PCs/Kg),P&D - Raw (PCs/Kg),51 - 60,,,1175.0,, 26 - 31 ,(PCs/Kg),2260.0,
51,Eat Well ,,Marketplace,,September,,,,P&D - Raw,,,"Sustainable  Stock, BPOM and HALAL",61 - 70,(PCs/Kg),P&D - Raw (PCs/Kg),61 - 70,,,1175.0,, 32 - 36 ,(PCs/Kg),2260.0,
52,Eat Well Bandung,,Marketplace,,September,,,,PDTO - Raw,,,"Sustainable  Stock, BPOM and HALAL",41 - 50,(PCs/Kg),PDTO - Raw (PCs/Kg),41 - 50,,,350.0,, 23 - 28 ,(PCs/Kg),636.0,
53,Eat Well Bandung,,Marketplace,,September,,,,P&D - Raw,,,"Sustainable  Stock, BPOM and HALAL",41 - 50,(PCs/Kg),P&D - Raw (PCs/Kg),41 - 50,,,350.0,, 21 - 26 ,(PCs/Kg),673.0,
54,Eat Well Bandung,,Marketplace,,September,,,,P&D - Raw,,,"Sustainable  Stock, BPOM and HALAL",51 - 60,(PCs/Kg),P&D - Raw (PCs/Kg),51 - 60,,,350.0,, 26 - 31 ,(PCs/Kg),673.0,
55,Eat Well Bandung,,Marketplace,,September,,,,P&D - Raw,,,"Sustainable  Stock, BPOM and HALAL",61 - 70,(PCs/Kg),P&D - Raw (PCs/Kg),61 - 70,,,350.0,, 32 - 36 ,(PCs/Kg),673.0,
56,Ichiyo,,Marketplace,,September,,,,PDTO - Raw,,,Sustainable  Stock,21 - 25,(PCs/Kg),PDTO - Raw (PCs/Kg),21 - 25,,,50.0,, 12 - 14 ,(PCs/Kg),91.0,
57,Ichiyo,,Marketplace,,September,,,Frozen Broken,PDTO - Raw,,,Sustainable  Stock,Any Kind,(PCs/Kg),PDTO - Raw (PCs/Kg),Any Kind,,,50.0,,UNDEFINED,(PCs/Kg),91.0,
58,Mie Gacoan Malang ,,Marketplace,,September,,,Frozen Broken,PDTO - Raw,,,"Sustainable  Stock, BPOM and HALAL",Any Kind,(PCs/Kg),PDTO - Raw (PCs/Kg),Any Kind,,,15000.0,,UNDEFINED,(PCs/Kg),27273.0,
59,Imperial Dimsum,,Marketplace,,September,,,,P&D - Raw,,,"Sustainable  Stock, BPOM and HALAL",31 - 40,(PCs/Kg),P&D - Raw (PCs/Kg),31 - 40,,,250.0,, 16 - 21 ,(PCs/Kg),481.0,
60,Imperial Dimsum,,Marketplace,,September,,,,P&D - Raw,,,"Sustainable  Stock, BPOM and HALAL",41 - 50,(PCs/Kg),P&D - Raw (PCs/Kg),41 - 50,,,250.0,, 21 - 26 ,(PCs/Kg),481.0,
61,Pasar Simpang Dago ,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
62,Pasar Sadang Serang ,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
63,Pasar Bermartabat,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
64,Pasar Geger Kalong ,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
65,Pasar Cibogo ,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
66,Pasar Pamoyanan,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,100.0,, 89 - 117 ,(PCs/Kg),102.0,
67,Pasar Cicaheum,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
68,Pasar Cikaso,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,100.0,, 89 - 117 ,(PCs/Kg),102.0,
69,Pasar Ujung Berung,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
70,Pasar Menteng Pulo,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
71,PASPIN,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
72,Pasar Mampang Prapatan,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
73,Pasar warung Buncit,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
74,Pasar Cidodol,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
75,Pasar Cipete Selatan ,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
76,Pasar Cipete Utara,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,200.0,, 89 - 117 ,(PCs/Kg),204.0,
77,Pasar Mede,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,100.0,, 89 - 117 ,(PCs/Kg),102.0,
78,Pasar Blok A,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,100.0,, 89 - 117 ,(PCs/Kg),102.0,
79,Pasar Klender,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,300.0,, 89 - 117 ,(PCs/Kg),306.0,
80,Pasar Pulo Gebang Permai,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,100.0,, 89 - 117 ,(PCs/Kg),102.0,
81,Pasar Cakung ,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
82,Pasar Cibubur,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,100.0,, 89 - 117 ,(PCs/Kg),102.0,
83,Pasar Ciracas,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,240.0,, 89 - 117 ,(PCs/Kg),245.0,
84,Pasar Pondok Bambu ,,Marketplace,,September,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,100.0,, 89 - 117 ,(PCs/Kg),102.0,
85,Mini Froz,,Marketplace,,September,,,,PDTO - Raw,,,BPOM & Halal,51 - 60,(PCs/Kg),PDTO - Raw (PCs/Kg),51 - 60,,,30.0,, 28 - 33 ,(PCs/Kg),55.0,
86,Ray Frozen Food,,Marketplace,,September,,,,HOSO - Raw,,,BPOM & Halal,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,20.0,, 50 - 59 ,(PCs/Kg),20.0,
87,King Frozen Indonesia,,Marketplace,,September,,,,HOSO - Raw,,,BPOM & Halal,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,30.0,, 50 - 59 ,(PCs/Kg),31.0,
