row_number_demand,po_number,demand_month,customer_name,customer_id,customer_area,customer_location,etd,etd_type,ordered_sku_code,ordered_sku_name,ordered_sku_type,raw_material_size,total_rm_kg,order_notes
71,,September,PASPIN,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
72,,September,Pasar Mampang Prapatan,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
73,,September,Pasar warung Buncit,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
74,,September,Pasar Cidodol,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
75,,September,Pasar Cipete Selatan ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
76,,September,Pasar Cipete Utara,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,204.0,
77,,September,Pasar Mede,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,102.0,
78,,September,Pasar Blok A,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,102.0,
79,,September,Pasar Klender,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,306.0,
80,,September,Pasar Pulo Gebang Permai,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,102.0,
81,,September,Pasar Cakung ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
82,,September,Pasar Cibubur,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,102.0,
83,,September,Pasar Ciracas,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,245.0,
84,,September,Pasar Pondok Bambu ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,102.0,
85,,September,Mini Froz,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 28 - 33 ,55.0,BPOM & Halal
86,,September,Ray Frozen Food,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,HOSO - Raw, 50 - 59 ,20.0,BPOM & Halal
87,,September,King Frozen Indonesia,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,HOSO - Raw, 50 - 59 ,31.0,BPOM & Halal
88,,September,King Frozen Indonesia,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 26 - 31 ,38.0,BPOM & Halal
89,,September,Yura Frozen,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 28 - 33 ,55.0,BPOM & Halal
90,,September,Rumah Beku ,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,HOSO - Raw, 50 - 59 ,51.0,BPOM & Halal
91,,September,Rajawalli Sosis Baso,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,HOSO - Raw, 50 - 59 ,102.0,BPOM & Halal
92,,September,Rajawalli Sosis Baso,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 28 - 33 ,182.0,BPOM & Halal
93,,September,Rajawalli Sosis Baso,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 26 - 31 ,192.0,BPOM & Halal
94,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 40 - 49 ,3827.0,
95,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 50 - 59 ,2551.0,
96,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 59 - 68 ,9376.0,
97,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh ,HOSO - Raw, 89 - 117 ,6505.0,
98,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Frozen Broken ,PDTO - Raw,#N/A,30100.0,"BPOM, Halal"
99,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,HOSO - Raw, 50 - 59 ,929.0,Halal
100,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Cooked, 9 - 13  ,2489.0,"BPOM, Halal"
101,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 16 - 21 ,85.0,"SKP, Halal"
102,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 11 - 15 ,190.0,"SKP, Halal"
103,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 16 - 21 ,529.0,"SKP, Halal"
104,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 21 - 26 ,3756.0,"SKP, Halal"
105,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 26 - 31 ,3481.0,"SKP, Halal"
106,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 32 - 36 ,3227.0,"SKP, Halal"
107,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 12 - 14 ,100.0,"BPOM, Halal"
108,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 23 - 28 ,3051.0,"BPOM, Halal"
109,,October,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 28 - 33 ,320.0,"BPOM, Halal"
110,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh,HOSO - Raw, 40 - 49 ,4592.0,
111,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh,HOSO - Raw, 50 - 59 ,3061.0,
112,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh,HOSO - Raw, 59 - 68 ,11250.0,
113,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh,HOSO - Raw, 89 - 117 ,7806.0,
114,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Frozen Broken ,PDTO - Raw,UNDEFINED,33111.0,"BPOM, Halal"
115,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,HOSO - Raw, 50 - 59 ,1393.0,Halal
116,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Cooked, 9 - 13  ,2986.0,"BPOM, Halal"
117,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 16 - 21 ,102.0,"SKP, Halal"
118,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 11 - 15 ,229.0,"SKP, Halal"
119,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 16 - 21 ,635.0,"SKP, Halal"
120,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 21 - 26 ,4506.0,"SKP, Halal"
121,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 26 - 31 ,4175.0,"SKP, Halal"
122,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 32 - 36 ,3871.0,"SKP, Halal"
123,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 12 - 14 ,120.0,"BPOM, Halal"
124,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 23 - 28 ,3660.0,"BPOM, Halal"
125,,November,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 28 - 33 ,384.0,"BPOM, Halal"
126,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh,HOSO - Raw, 40 - 49 ,5051.0,
127,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh,HOSO - Raw, 50 - 59 ,3367.0,
128,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh,HOSO - Raw, 59 - 68 ,12376.0,
129,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Fresh,HOSO - Raw, 89 - 117 ,8587.0,
130,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,Frozen Broken ,PDTO - Raw,#N/A,39733.0,"BPOM, Halal"
131,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,HOSO - Raw, 50 - 59 ,4179.0,Halal
132,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Cooked, 9 - 13  ,3882.0,"BPOM, Halal"
133,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 16 - 21 ,133.0,"SKP, Halal"
134,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 11 - 15 ,296.0,"SKP, Halal"
135,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 16 - 21 ,825.0,"SKP, Halal"
136,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 21 - 26 ,5858.0,"SKP, Halal"
137,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 26 - 31 ,5429.0,"SKP, Halal"
138,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 32 - 36 ,5033.0,"SKP, Halal"
139,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 12 - 14 ,156.0,"BPOM, Halal"
140,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 23 - 28 ,4758.0,"BPOM, Halal"
141,,December,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 28 - 33 ,500.0,"BPOM, Halal"
142,,,,,,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
143,,,,,,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
144,,,,,,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
145,,,,,,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
